10 0 0.0762914 0 0
40 0.0028236 0.122778 0.000103397 9.11E-05
70 0.00919168 0.280796 0.000783301 0.000661304
100 0.0379751 0.462838 0.00404094 0.003593
130 0.154663 0.623578 0.0258567 0.0172164
160 0.354395 0.729301 0.0768502 0.0649245
190 0.658262 0.807349 0.185076 0.157442
220 0.972755 0.850829 0.344936 0.298101
250 1.32546 0.898142 0.522344 0.44767
280 1.66713 0.918439 0.743787 0.623895
310 1.99265 0.914542 0.970375 0.853668
340 2.2922 0.926687 1.20054 1.02897
370 2.58878 0.911694 1.44506 1.25585
400 2.87068 0.911545 1.66933 1.44915
430 3.11286 0.87605 1.97975 1.6421
460 3.22499 0.852219 2.22211 1.8821
490 3.61958 0.880012 2.20792 2.05626
